Swimmer_ID,Team,Year,Event,Event_Type,swim_type,Time,Improvement
220049,Boston College,2014,50 Y Free,Prelims,swim,19.97,-0.7%
220049,Boston College,2014,50 Y Free,Finals,swim,19.90,-0.4%
220049,Boston College,2014,50 Y Free,Timed Finals,swim,18.90,NA
220049,Boston College,2014,50 Y Free,Timed Finals,swim,19.78,+0.3%
220049,Boston College,2014,100 Y Free,Prelims,swim,45.46,-0.6%
220049,Boston College,2014,100 Y Free,Timed Finals,swim,44.35,NA
220049,Boston College,2014,100 Y Fly,Prelims,swim,50.20,-0.5%
230350,Boston College,2014,200 Y Free,Prelims,swim,1:42.91,-0.5%
230350,Boston College,2014,200 Y Free,Timed Finals,swim,INV,NA
230350,Boston College,2014,500 Y Free,Prelims,swim,4:39.87,+0.5%
230350,Boston College,2014,1650 Y Free,Timed Finals,swim,16:16.84,-0.1%
153581,Boston College,2014,50 Y Back,Timed Finals,swim,23.58,+2.4%
153581,Boston College,2014,100 Y Back,Timed Finals,swim,50.31,-0.1%
153581,Boston College,2014,200 Y Back,Prelims,swim,1:48.94,+2.7%
153581,Boston College,2014,200 Y Back,Finals,swim,1:49.59,+2.1%
153581,Boston College,2014,100 Y Breast,Prelims,swim,55.85,+0.6%
153581,Boston College,2014,200 Y IM,Prelims,swim,1:49.82,+1.8%
65704,Boston College,2014,50 Y Breast,Timed Finals,swim,24.92,NA
65704,Boston College,2014,100 Y Breast,Prelims,swim,55.26,-0.8%
65704,Boston College,2014,100 Y Breast,Timed Finals,swim,54.82,NA
65704,Boston College,2014,200 Y Breast,Prelims,swim,2:01.69,+0.8%
65704,Boston College,2014,200 Y IM,Prelims,swim,1:51.69,+0.1%
203889,Boston College,2014,50 Y Free,Prelims,swim,21.04,-0.4%
203889,Boston College,2014,50 Y Free,Timed Finals,swim,20.24,NA
203889,Boston College,2014,100 Y Free,Prelims,swim,45.35,+0.6%
203889,Boston College,2014,100 Y Free,Timed Finals,swim,44.35,NA
203889,Boston College,2014,100 Y Free,Timed Finals,swim,45.51,+0.3%
203889,Boston College,2014,200 Y Free,Prelims,swim,1:39.56,-0.5%
203889,Boston College,2014,200 Y Free,Timed Finals,swim,INV,NA
76191,Boston College,2014,100 Y Free,Prelims,swim,47.24,+3.2%
76191,Boston College,2014,200 Y Free,Prelims,swim,1:42.71,-0.2%
76191,Boston College,2014,200 Y Free,Timed Finals,swim,INV,NA
76191,Boston College,2014,500 Y Free,Prelims,swim,4:40.51,-0.0%
163996,Boston College,2014,100 Y Free,Prelims,swim,46.98,+0.5%
163996,Boston College,2014,100 Y Free,Timed Finals,swim,46.12,NA
163996,Boston College,2014,200 Y Free,Timed Finals,swim,INV,NA
163996,Boston College,2014,200 Y IM,Prelims,swim,1:53.50,+0.6%
163996,Boston College,2014,400 Y IM,Prelims,swim,4:04.13,+0.4%
295537,Boston College,2014,100 Y Breast,Prelims,swim,56.82,+1.6%
295537,Boston College,2014,200 Y Breast,Prelims,swim,2:04.33,+1.8%
295537,Boston College,2014,200 Y IM,Prelims,swim,1:56.74,+0.5%
206149,Boston College,2014,50 Y Free,Prelims,swim,22.06,+0.2%
206149,Boston College,2014,100 Y Fly,Prelims,swim,50.23,+0.6%
206149,Boston College,2014,200 Y Fly,Prelims,swim,1:52.52,+0.9%
148008,Boston College,2014,500 Y Free,Prelims,swim,4:43.02,+0.7%
148008,Boston College,2014,100 Y Back,Prelims,swim,51.26,+1.6%
148008,Boston College,2014,200 Y Back,Prelims,swim,1:52.81,+0.8%
150324,Boston College,2014,50 Y Free,Prelims,swim,21.94,-0.4%
150324,Boston College,2014,100 Y Free,Prelims,swim,47.11,+0.2%
150324,Boston College,2014,100 Y Free,Timed Finals,swim,46.66,NA
150324,Boston College,2014,200 Y Free,Prelims,swim,1:43.12,+1.3%
111500,Boston College,2014,50 Y Free,Prelims,swim,21.36,+0.1%
111500,Boston College,2014,50 Y Free,Timed Finals,swim,20.74,NA
111500,Boston College,2014,100 Y Free,Prelims,swim,47.44,-0.3%
111500,Boston College,2014,100 Y Fly,Prelims,swim,51.04,-0.8%
149175,Boston College,2014,50 Y Free,Prelims,swim,21.70,-1.5%
149175,Boston College,2014,100 Y Free,Prelims,swim,48.30,+3.7%
149175,Boston College,2014,50 Y Fly,Timed Finals,swim,21.80,NA
149175,Boston College,2014,100 Y Fly,Prelims,swim,49.78,+0.6%
149175,Boston College,2014,100 Y Fly,Timed Finals,swim,49.19,NA
142346,Boston College,2014,200 Y Back,Prelims,swim,1:52.88,+0.6%
142346,Boston College,2014,100 Y Fly,Prelims,swim,51.65,+0.6%
142346,Boston College,2014,200 Y IM,Prelims,swim,1:55.12,-0.2%
270486,Boston College,2014,50 Y Free,Prelims,swim,21.28,+1.2%
270486,Boston College,2014,50 Y Free,Timed Finals,swim,20.81,NA
270486,Boston College,2014,100 Y Free,Prelims,swim,47.38,+3.1%
270486,Boston College,2014,100 Y Back,Prelims,swim,51.65,+0.9%
199798,Boston College,2014,50 Y Free,Prelims,swim,21.71,-1.0%
199798,Boston College,2014,100 Y Free,Prelims,swim,47.20,+2.3%
199798,Boston College,2014,100 Y Fly,Prelims,swim,51.17,+3.4%
216000,Boston College,2014,100 Y Back,Prelims,swim,51.87,+0.7%
216000,Boston College,2014,200 Y Back,Prelims,swim,1:57.22,-2.5%
216000,Boston College,2014,200 Y IM,Prelims,swim,1:56.11,-0.5%
231670,Boston College,2014,1M Diving,Prelims,dive,293.60,NA
231670,Boston College,2014,3M Diving,Prelims,dive,275.70,NA
295536,Boston College,2014,1M Diving,Prelims,dive,232.65,NA
295536,Boston College,2014,3M Diving,Prelims,dive,197.80,NA
220049,Boston College,2015,50 Y Free,Prelims,swim,20.03,+0.1%
220049,Boston College,2015,50 Y Free,Finals,swim,19.96,+0.4%
220049,Boston College,2015,50 Y Free,Timed Finals,swim,19.17,NA
220049,Boston College,2015,50 Y Free,Timed Finals,swim,20.13,-0.4%
220049,Boston College,2015,100 Y Free,Prelims,swim,45.37,-1.0%
220049,Boston College,2015,100 Y Free,Timed Finals,swim,43.98,NA
220049,Boston College,2015,100 Y Fly,Prelims,swim,50.62,+1.0%
231670,Boston College,2015,1M Diving,Prelims,dive,273.85,NA
231670,Boston College,2015,3M Diving,Prelims,dive,303.05,NA
231670,Boston College,2015,10M Diving,Prelims,dive,190.30,NA
65704,Boston College,2015,50 Y Breast,Timed Finals,swim,24.65,NA
65704,Boston College,2015,100 Y Breast,Prelims,swim,55.11,+1.8%
65704,Boston College,2015,100 Y Breast,Finals,swim,55.66,+0.8%
65704,Boston College,2015,100 Y Breast,Timed Finals,swim,55.43,NA
65704,Boston College,2015,200 Y Breast,Prelims,swim,2:00.09,+1.6%
65704,Boston College,2015,200 Y Breast,Finals,swim,1:59.88,+1.8%
65704,Boston College,2015,200 Y IM,Prelims,swim,1:52.42,+1.4%
203889,Boston College,2015,50 Y Free,Prelims,swim,20.76,+0.8%
203889,Boston College,2015,50 Y Free,Timed Finals,swim,19.94,NA
203889,Boston College,2015,100 Y Free,Prelims,swim,45.39,+0.5%
203889,Boston College,2015,100 Y Free,Timed Finals,swim,44.42,NA
203889,Boston College,2015,100 Y Free,Timed Finals,swim,45.85,-0.5%
203889,Boston College,2015,200 Y Free,Prelims,swim,1:38.03,-1.1%
203889,Boston College,2015,200 Y Free,Finals,swim,1:38.11,-1.2%
203889,Boston College,2015,200 Y Free,Timed Finals,swim,1:36.96,+2.5%
177613,Boston College,2015,50 Y Free,Timed Finals,swim,20.18,NA
177613,Boston College,2015,100 Y Free,Prelims,swim,45.43,+1.8%
177613,Boston College,2015,100 Y Free,Timed Finals,swim,44.33,NA
177613,Boston College,2015,200 Y Free,Timed Finals,swim,1:40.44,NA
177613,Boston College,2015,100 Y Fly,Prelims,swim,49.32,+1.0%
177613,Boston College,2015,100 Y Fly,Timed Finals,swim,48.64,NA
177613,Boston College,2015,200 Y IM,Prelims,swim,1:49.97,+0.5%
230350,Boston College,2015,50 Y Free,Timed Finals,swim,21.13,+3.0%
230350,Boston College,2015,100 Y Free,Timed Finals,swim,46.08,+1.7%
230350,Boston College,2015,100 Y Free,Timed Finals,swim,45.63,NA
230350,Boston College,2015,200 Y Free,Prelims,swim,1:41.50,+0.9%
230350,Boston College,2015,200 Y Free,Timed Finals,swim,1:41.88,NA
230350,Boston College,2015,500 Y Free,Prelims,swim,4:35.76,+1.7%
230350,Boston College,2015,1650 Y Free,Timed Finals,swim,16:27.99,+0.5%
230350,Boston College,2015,200 Y IM,Timed Finals,swim,1:57.09,+4.6%
148008,Boston College,2015,500 Y Free,Prelims,swim,4:45.29,-0.5%
148008,Boston College,2015,100 Y Back,Prelims,swim,50.23,+1.7%
148008,Boston College,2015,100 Y Back,Timed Finals,swim,50.39,+1.4%
148008,Boston College,2015,200 Y Back,Prelims,swim,1:51.07,+0.5%
206149,Boston College,2015,50 Y Free,Prelims,swim,21.73,+0.5%
206149,Boston College,2015,100 Y Fly,Prelims,swim,49.63,+1.2%
206149,Boston College,2015,200 Y Fly,Prelims,swim,1:54.26,+0.1%
199798,Boston College,2015,50 Y Free,Prelims,swim,21.19,+3.8%
199798,Boston College,2015,100 Y Fly,Prelims,swim,51.31,+0.9%
199798,Boston College,2015,200 Y Fly,Prelims,swim,1:53.63,+1.9%
76191,Boston College,2015,50 Y Free,Prelims,swim,21.52,+2.4%
76191,Boston College,2015,200 Y Free,Prelims,swim,1:43.04,+0.7%
76191,Boston College,2015,200 Y Fly,Prelims,swim,1:55.18,+0.6%
163996,Boston College,2015,100 Y Free,Prelims,swim,47.64,+0.5%
163996,Boston College,2015,200 Y Free,Prelims,swim,1:42.12,+1.6%
163996,Boston College,2015,200 Y Free,Timed Finals,swim,1:41.42,NA
163996,Boston College,2015,500 Y Free,Prelims,swim,4:48.09,NA
163996,Boston College,2015,200 Y IM,Timed Finals,swim,1:56.56,-1.8%
291859,Boston College,2015,50 Y Free,Timed Finals,swim,21.44,+2.6%
291859,Boston College,2015,100 Y Breast,Prelims,swim,57.68,+2.2%
291859,Boston College,2015,200 Y Breast,Prelims,swim,2:07.43,+1.1%
291859,Boston College,2015,200 Y IM,Prelims,swim,1:54.08,+1.8%
149175,Boston College,2015,50 Y Free,Prelims,swim,21.77,-0.9%
149175,Boston College,2015,100 Y Free,Prelims,swim,48.06,+3.9%
149175,Boston College,2015,50 Y Fly,Timed Finals,swim,22.02,NA
149175,Boston College,2015,100 Y Fly,Timed Finals,swim,50.13,+0.4%
149175,Boston College,2015,100 Y Fly,Prelims,swim,50.37,-0.1%
409682,Boston College,2015,50 Y Free,Prelims,swim,21.11,+1.3%
409682,Boston College,2015,100 Y Free,Prelims,swim,47.04,+0.4%
409682,Boston College,2015,100 Y Fly,Prelims,swim,52.20,-1.4%
270486,Boston College,2015,50 Y Free,Prelims,swim,21.12,-0.8%
270486,Boston College,2015,50 Y Free,Timed Finals,swim,20.71,NA
270486,Boston College,2015,100 Y Free,Prelims,swim,47.40,-0.1%
270486,Boston College,2015,50 Y Back,Timed Finals,swim,23.53,+0.9%
270486,Boston College,2015,100 Y Back,Prelims,swim,50.70,+0.4%
203890,Boston College,2015,50 Y Free,Prelims,swim,22.77,+3.1%
203890,Boston College,2015,100 Y Breast,Timed Finals,swim,57.23,+1.9%
203890,Boston College,2015,100 Y Breast,Prelims,swim,57.69,+1.1%
203890,Boston College,2015,200 Y Breast,Prelims,swim,2:04.44,+1.8%
220440,Boston College,2015,50 Y Free,Timed Finals,swim,22.09,NA
220440,Boston College,2015,200 Y Fly,Prelims,swim,1:59.22,-3.1%
220440,Boston College,2015,200 Y IM,Prelims,swim,1:54.22,-0.4%
220440,Boston College,2015,400 Y IM,Prelims,swim,4:07.18,-2.8%
150324,Boston College,2015,50 Y Free,Prelims,swim,22.31,-2.9%
150324,Boston College,2015,100 Y Free,Prelims,swim,47.84,-0.6%
150324,Boston College,2015,200 Y Free,Prelims,swim,1:45.97,-2.0%
295536,Boston College,2015,1M Diving,Prelims,dive,198.90,NA
295536,Boston College,2015,3M Diving,Prelims,dive,213.55,NA
220049,Boston College,2016,50 Y Free,Prelims,swim,19.89,-0.6%
220049,Boston College,2016,50 Y Free,Finals,swim,19.78,NA
220049,Boston College,2016,50 Y Free,Timed Finals,swim,18.94,NA
220049,Boston College,2016,50 Y Free,Timed Finals,swim,19.97,-1.0%
220049,Boston College,2016,50 Y Free,Timed Finals,swim,20.35,-2.9%
220049,Boston College,2016,100 Y Free,Prelims,swim,44.45,-0.2%
220049,Boston College,2016,100 Y Free,Timed Finals,swim,43.44,NA
220049,Boston College,2016,100 Y Free,Timed Finals,swim,45.60,-2.8%
220049,Boston College,2016,50 Y Fly,Timed Finals,swim,21.91,+3.0%
220049,Boston College,2016,100 Y Fly,Prelims,swim,49.37,-0.1%
231670,Boston College,2016,1M Diving,Prelims,dive,274.40,NA
231670,Boston College,2016,3M Diving,Prelims,dive,306.00,NA
289479,Boston College,2016,50 Y Free,Timed Finals,swim,21.17,NA
289479,Boston College,2016,200 Y Free,Timed Finals,swim,1:40.11,+1.6%
289479,Boston College,2016,100 Y Back,Timed Finals,swim,50.10,+5.3%
289479,Boston College,2016,200 Y Back,Prelims,swim,1:47.56,+1.2%
289479,Boston College,2016,200 Y IM,Prelims,swim,1:50.54,-0.5%
289479,Boston College,2016,400 Y IM,Prelims,swim,3:57.18,-0.8%
230350,Boston College,2016,50 Y Free,Timed Finals,swim,21.23,+4.7%
230350,Boston College,2016,100 Y Free,Timed Finals,swim,46.01,+1.5%
230350,Boston College,2016,100 Y Free,Timed Finals,swim,44.91,NA
230350,Boston College,2016,200 Y Free,Prelims,swim,1:40.17,+1.2%
230350,Boston College,2016,200 Y Free,Timed Finals,swim,1:39.57,NA
230350,Boston College,2016,500 Y Free,Timed Finals,swim,4:30.60,+0.6%
230350,Boston College,2016,500 Y Free,Prelims,swim,4:32.26,+0.4%
230350,Boston College,2016,1650 Y Free,Timed Finals,swim,DQ,NA
210302,Boston College,2016,50 Y Free,Timed Finals,swim,21.67,NA
210302,Boston College,2016,100 Y Free,Prelims,swim,47.18,-0.4%
210302,Boston College,2016,200 Y Free,Prelims,swim,1:42.50,-1.8%
210302,Boston College,2016,200 Y Free,Timed Finals,swim,1:40.60,NA
210302,Boston College,2016,500 Y Free,Prelims,swim,4:35.63,-1.3%
177613,Boston College,2016,50 Y Free,Prelims,swim,20.90,NA
177613,Boston College,2016,50 Y Free,Timed Finals,swim,20.18,NA
177613,Boston College,2016,50 Y Free,Timed Finals,swim,21.40,-2.4%
177613,Boston College,2016,100 Y Free,Prelims,swim,46.32,+1.2%
177613,Boston College,2016,100 Y Fly,Prelims,swim,49.15,+2.7%
177613,Boston College,2016,100 Y Fly,Timed Finals,swim,48.46,NA
199798,Boston College,2016,50 Y Free,Prelims,swim,21.30,+2.7%
199798,Boston College,2016,50 Y Free,Timed Finals,swim,21.14,NA
199798,Boston College,2016,50 Y Fly,Timed Finals,swim,22.33,NA
199798,Boston College,2016,100 Y Fly,Prelims,swim,50.27,-0.2%
199798,Boston College,2016,200 Y Fly,Prelims,swim,1:51.03,+1.4%
220440,Boston College,2016,50 Y Free,Timed Finals,swim,21.21,NA
220440,Boston College,2016,100 Y Fly,Timed Finals,swim,51.63,NA
220440,Boston College,2016,200 Y Fly,Prelims,swim,1:54.78,+4.0%
220440,Boston College,2016,200 Y IM,Prelims,swim,1:51.91,+1.1%
220440,Boston College,2016,400 Y IM,Prelims,swim,3:57.61,+1.8%
212936,Boston College,2016,50 Y Free,Prelims,swim,20.75,+1.9%
212936,Boston College,2016,50 Y Free,Timed Finals,swim,20.15,NA
212936,Boston College,2016,50 Y Free,Timed Finals,swim,20.97,-1.1%
212936,Boston College,2016,100 Y Free,Prelims,swim,46.42,+1.0%
212936,Boston College,2016,100 Y Fly,Prelims,swim,50.75,+1.7%
270486,Boston College,2016,50 Y Free,Prelims,swim,20.96,-1.3%
270486,Boston College,2016,50 Y Free,Timed Finals,swim,20.63,NA
270486,Boston College,2016,50 Y Free,Timed Finals,swim,21.09,-1.9%
270486,Boston College,2016,100 Y Free,Prelims,swim,45.75,+1.6%
270486,Boston College,2016,100 Y Free,Timed Finals,swim,45.52,NA
270486,Boston College,2016,100 Y Back,Timed Finals,swim,50.73,-2.0%
270486,Boston College,2016,100 Y Back,Prelims,swim,50.42,-1.4%
409682,Boston College,2016,50 Y Free,Prelims,swim,21.13,+1.1%
409682,Boston College,2016,50 Y Free,Timed Finals,swim,20.62,NA
409682,Boston College,2016,100 Y Free,Prelims,swim,46.01,+1.1%
409682,Boston College,2016,100 Y Free,Timed Finals,swim,45.64,NA
409682,Boston College,2016,100 Y Fly,Prelims,swim,50.78,+1.9%
148008,Boston College,2016,50 Y Free,Timed Finals,swim,21.78,NA
148008,Boston College,2016,50 Y Back,Timed Finals,swim,23.07,+0.4%
148008,Boston College,2016,100 Y Back,Prelims,swim,49.87,+0.0%
148008,Boston College,2016,100 Y Back,Timed Finals,swim,49.96,-0.2%
148008,Boston College,2016,200 Y Back,Prelims,swim,1:49.20,-0.0%
148008,Boston College,2016,200 Y IM,Prelims,swim,1:56.39,NA
219834,Boston College,2016,50 Y Free,Timed Finals,swim,20.92,NA
219834,Boston College,2016,100 Y Back,Prelims,swim,50.95,-0.7%
219834,Boston College,2016,200 Y Back,Prelims,swim,1:50.79,+0.5%
219834,Boston College,2016,100 Y Fly,Prelims,swim,50.69,-0.4%
219834,Boston College,2016,200 Y Fly,Timed Finals,swim,1:52.70,+3.5%
163996,Boston College,2016,50 Y Free,Timed Finals,swim,21.38,NA
163996,Boston College,2016,200 Y Free,Prelims,swim,1:41.78,+0.5%
163996,Boston College,2016,200 Y Free,Timed Finals,swim,1:41.07,NA
163996,Boston College,2016,200 Y Breast,Prelims,swim,2:09.92,+0.4%
163996,Boston College,2016,200 Y IM,Timed Finals,swim,1:54.70,-1.0%
163996,Boston College,2016,200 Y IM,Prelims,swim,1:54.53,-0.9%
150324,Boston College,2016,50 Y Free,Prelims,swim,21.33,+0.1%
150324,Boston College,2016,50 Y Free,Timed Finals,swim,20.95,NA
150324,Boston College,2016,100 Y Free,Prelims,swim,46.74,+0.7%
150324,Boston College,2016,200 Y Free,Prelims,swim,1:45.65,-0.4%
233612,Boston College,2016,50 Y Free,Timed Finals,swim,21.44,NA
233612,Boston College,2016,50 Y Free,Timed Finals,swim,21.36,NA
233612,Boston College,2016,50 Y Breast,Timed Finals,swim,25.35,NA
233612,Boston College,2016,100 Y Breast,Prelims,swim,56.95,+0.9%
233612,Boston College,2016,100 Y Breast,Timed Finals,swim,56.48,NA
233612,Boston College,2016,200 Y Breast,Prelims,swim,2:08.12,+1.1%
233612,Boston College,2016,200 Y IM,Prelims,swim,1:53.92,-0.4%
292000,Boston College,2016,50 Y Free,Prelims,swim,21.60,-0.5%
292000,Boston College,2016,50 Y Free,Timed Finals,swim,21.14,NA
292000,Boston College,2016,100 Y Free,Prelims,swim,47.05,-0.1%
292000,Boston College,2016,200 Y Free,Prelims,swim,1:41.69,+0.7%
292000,Boston College,2016,100 Y Breast,Timed Finals,swim,59.69,NA
291859,Boston College,2016,50 Y Free,Prelims,swim,21.40,+0.4%
291859,Boston College,2016,50 Y Free,Timed Finals,swim,20.85,NA
291859,Boston College,2016,100 Y Breast,Prelims,swim,57.76,+1.3%
291859,Boston College,2016,200 Y Breast,Prelims,swim,2:07.84,+0.8%
295536,Boston College,2016,1M Diving,Prelims,dive,222.25,NA
295536,Boston College,2016,3M Diving,Prelims,dive,188.15,NA
289479,Boston College,2017,100 Y Free,Timed Finals,swim,45.68,NA
289479,Boston College,2017,200 Y Free,Timed Finals,swim,1:39.25,NA
289479,Boston College,2017,200 Y Breast,Prelims,swim,1:59.23,+2.9%
289479,Boston College,2017,200 Y Breast,Finals,swim,1:59.42,+2.8%
289479,Boston College,2017,100 Y Fly,Timed Finals,swim,48.73,NA
289479,Boston College,2017,200 Y IM,Prelims,swim,1:48.38,-1.1%
289479,Boston College,2017,400 Y IM,Prelims,swim,3:54.94,-0.5%
230350,Boston College,2017,100 Y Free,Timed Finals,swim,44.90,NA
230350,Boston College,2017,100 Y Free,Timed Finals,swim,46.40,-2.1%
230350,Boston College,2017,200 Y Free,Prelims,swim,1:38.45,+0.5%
230350,Boston College,2017,200 Y Free,Timed Finals,swim,1:39.03,-0.1%
230350,Boston College,2017,500 Y Free,Prelims,swim,4:29.34,-0.1%
230350,Boston College,2017,1650 Y Free,Timed Finals,swim,15:44.31,+0.4%
301625,Boston College,2017,100 Y Free,Prelims,swim,46.18,+3.9%
301625,Boston College,2017,100 Y Free,Timed Finals,swim,46.43,NA
301625,Boston College,2017,200 Y Free,Prelims,swim,1:40.37,+2.0%
301625,Boston College,2017,200 Y Free,Timed Finals,swim,1:41.13,NA
301625,Boston College,2017,500 Y Free,Prelims,swim,4:34.42,+1.9%
329219,Boston College,2017,100 Y Breast,Prelims,swim,55.78,+1.9%
329219,Boston College,2017,100 Y Breast,Timed Finals,swim,55.45,NA
329219,Boston College,2017,200 Y Breast,Prelims,swim,2:02.80,+1.4%
329219,Boston College,2017,200 Y IM,Prelims,swim,1:52.55,NA
177613,Boston College,2017,50 Y Free,Prelims,swim,20.93,+2.3%
177613,Boston College,2017,50 Y Free,Timed Finals,swim,20.68,NA
177613,Boston College,2017,100 Y Free,Prelims,swim,45.69,+1.9%
177613,Boston College,2017,100 Y Fly,Prelims,swim,49.72,+1.8%
212936,Boston College,2017,50 Y Free,Prelims,swim,20.51,+1.1%
212936,Boston College,2017,50 Y Free,Timed Finals,swim,20.65,+0.4%
212936,Boston College,2017,100 Y Free,Prelims,swim,46.35,+1.3%
212936,Boston College,2017,50 Y Fly,Timed Finals,swim,21.83,NA
212936,Boston College,2017,100 Y Fly,Prelims,swim,50.45,+0.2%
270486,Boston College,2017,50 Y Free,Prelims,swim,21.05,-1.6%
270486,Boston College,2017,50 Y Free,Timed Finals,swim,20.41,NA
270486,Boston College,2017,50 Y Free,Timed Finals,swim,20.70,NA
270486,Boston College,2017,100 Y Free,Prelims,swim,46.19,+1.3%
270486,Boston College,2017,100 Y Free,Timed Finals,swim,45.90,NA
270486,Boston College,2017,100 Y Back,Prelims,swim,49.77,+2.5%
270486,Boston College,2017,100 Y Back,Timed Finals,swim,50.08,+1.9%
199798,Boston College,2017,50 Y Free,Prelims,swim,21.23,+1.9%
199798,Boston College,2017,100 Y Fly,Prelims,swim,50.46,+0.7%
199798,Boston College,2017,200 Y Fly,Prelims,swim,1:51.46,+2.3%
291859,Boston College,2017,50 Y Free,Prelims,swim,20.97,-0.5%
291859,Boston College,2017,50 Y Free,Timed Finals,swim,20.83,NA
291859,Boston College,2017,100 Y Free,Prelims,swim,46.36,+3.5%
291859,Boston College,2017,100 Y Breast,Prelims,swim,57.47,+1.2%
210302,Boston College,2017,100 Y Free,Prelims,swim,46.75,+0.5%
210302,Boston College,2017,200 Y Free,Prelims,swim,1:44.12,-3.3%
210302,Boston College,2017,200 Y Free,Timed Finals,swim,1:40.03,NA
210302,Boston College,2017,500 Y Free,Prelims,swim,4:41.89,-3.1%
220440,Boston College,2017,200 Y Breast,Prelims,swim,2:07.87,+8.2%
220440,Boston College,2017,200 Y IM,Prelims,swim,1:53.07,-0.7%
220440,Boston College,2017,400 Y IM,Prelims,swim,4:00.98,-0.3%
219834,Boston College,2017,100 Y Back,Prelims,swim,50.21,+0.3%
219834,Boston College,2017,100 Y Fly,Prelims,swim,50.17,+0.9%
219834,Boston College,2017,200 Y Fly,Prelims,swim,1:54.52,+2.4%
220299,Boston College,2017,50 Y Free,Prelims,swim,21.32,+1.1%
220299,Boston College,2017,100 Y Breast,Prelims,swim,56.90,-0.5%
220299,Boston College,2017,200 Y Breast,Prelims,swim,2:04.92,+1.2%
233612,Boston College,2017,50 Y Breast,Timed Finals,swim,25.10,NA
233612,Boston College,2017,100 Y Breast,Prelims,swim,56.72,+0.3%
233612,Boston College,2017,200 Y Breast,Prelims,swim,2:06.10,+1.6%
233612,Boston College,2017,200 Y IM,Prelims,swim,1:54.92,-1.9%
269633,Boston College,2017,100 Y Back,Prelims,swim,51.27,+0.6%
269633,Boston College,2017,200 Y Back,Prelims,swim,1:51.32,+0.6%
269633,Boston College,2017,200 Y IM,Prelims,swim,1:53.20,+1.9%
148008,Boston College,2017,50 Y Free,Prelims,swim,22.20,NA
148008,Boston College,2017,50 Y Back,Timed Finals,swim,23.07,+0.2%
148008,Boston College,2017,100 Y Back,Prelims,swim,49.85,+0.3%
148008,Boston College,2017,200 Y Back,Prelims,swim,1:49.41,+0.2%
210902,Boston College,2017,100 Y Back,Prelims,swim,52.37,+0.5%
210902,Boston College,2017,200 Y Back,Prelims,swim,1:52.03,-0.3%
210902,Boston College,2017,200 Y IM,Prelims,swim,1:55.99,-0.5%
295536,Boston College,2017,1M Diving,Prelims,dive,233.15,NA
295536,Boston College,2017,3M Diving,Prelims,dive,223.50,NA
231670,Boston College,2017,1M Diving,Prelims,dive,212.05,NA
231670,Boston College,2017,3M Diving,Prelims,dive,248.60,NA
289479,Boston College,2018,100 Y Free,Timed Finals,swim,45.68,NA
289479,Boston College,2018,200 Y Free,Timed Finals,swim,1:40.68,+2.9%
289479,Boston College,2018,50 Y Back,Timed Finals,swim,22.60,+2.1%
289479,Boston College,2018,100 Y Back,Timed Finals,swim,48.99,+0.5%
289479,Boston College,2018,100 Y Breast,Prelims,swim,54.46,NA
289479,Boston College,2018,100 Y Breast,Finals,swim,54.49,NA
289479,Boston College,2018,200 Y Breast,Prelims,swim,1:59.98,+0.2%
289479,Boston College,2018,200 Y IM,Prelims,swim,1:47.92,-0.1%
327211,Boston College,2018,200 Y Free,Timed Finals,swim,1:40.27,NA
327211,Boston College,2018,100 Y Back,Prelims,swim,49.46,+0.9%
327211,Boston College,2018,200 Y Back,Timed Finals,swim,1:47.61,+2.7%
327211,Boston College,2018,50 Y Fly,Timed Finals,swim,21.64,NA
327211,Boston College,2018,100 Y Fly,Prelims,swim,48.38,+2.9%
327211,Boston College,2018,100 Y Fly,Timed Finals,swim,48.31,NA
327211,Boston College,2018,200 Y Fly,Prelims,swim,1:48.42,+2.7%
327211,Boston College,2018,200 Y Fly,Finals,swim,1:48.76,+2.4%
329219,Boston College,2018,50 Y Free,Timed Finals,swim,21.72,+1.5%
329219,Boston College,2018,100 Y Breast,NA,swim,55.02,+1.3%
329219,Boston College,2018,100 Y Breast,Prelims,swim,54.57,+2.2%
329219,Boston College,2018,100 Y Breast,Timed Finals,swim,54.36,NA
329219,Boston College,2018,200 Y Breast,Prelims,swim,2:01.33,+2.3%
329219,Boston College,2018,200 Y IM,Prelims,swim,1:52.82,+0.4%
358706,Boston College,2018,100 Y Free,Timed Finals,swim,47.37,NA
358706,Boston College,2018,200 Y Free,Prelims,swim,1:43.15,NA
358706,Boston College,2018,500 Y Free,Prelims,swim,4:39.64,-0.5%
358706,Boston College,2018,1650 Y Free,Timed Finals,swim,16:02.99,+1.5%
322102,Boston College,2018,50 Y Free,Prelims,swim,21.30,+1.4%
322102,Boston College,2018,100 Y Free,Prelims,swim,45.53,+2.5%
322102,Boston College,2018,100 Y Free,Timed Finals,swim,45.14,NA
322102,Boston College,2018,100 Y Free,Timed Finals,swim,45.55,+2.4%
322102,Boston College,2018,200 Y Free,Prelims,swim,1:40.70,+1.6%
322102,Boston College,2018,200 Y Free,Timed Finals,swim,1:39.71,NA
322102,Boston College,2018,100 Y Fly,Timed Finals,swim,50.17,+8.2%
301625,Boston College,2018,50 Y Free,Prelims,swim,21.04,-0.1%
301625,Boston College,2018,50 Y Free,Timed Finals,swim,DQ,NA
301625,Boston College,2018,100 Y Free,Prelims,swim,46.28,-0.1%
